benchmark,run,result
quadratic,baseline,785
quadratic,traced,791
quadratic,tracedLVNTDCE,449
primes-between,baseline,574100
primes-between,traced,574102
primes-between,tracedLVNTDCE,574102
birthday,baseline,484
birthday,traced,479
birthday,tracedLVNTDCE,221
orders,baseline,5352
orders,traced,5359
orders,tracedLVNTDCE,5359
sum-check,baseline,5018
sum-check,traced,4984
sum-check,tracedLVNTDCE,4984
palindrome,baseline,298
palindrome,traced,399
palindrome,tracedLVNTDCE,396
totient,baseline,253
totient,traced,253
totient,tracedLVNTDCE,253
relative-primes,baseline,1923
relative-primes,traced,2678
relative-primes,tracedLVNTDCE,2298
hanoi,baseline,99
hanoi,traced,158
hanoi,tracedLVNTDCE,158
is-decreasing,baseline,127
is-decreasing,traced,127
is-decreasing,tracedLVNTDCE,120
check-primes,baseline,8468
check-primes,traced,8710
check-primes,tracedLVNTDCE,6038
sum-sq-diff,baseline,3038
sum-sq-diff,traced,3021
sum-sq-diff,tracedLVNTDCE,2047
fitsinside,baseline,10
fitsinside,traced,10
fitsinside,tracedLVNTDCE,10
fact,baseline,229
fact,traced,331
fact,tracedLVNTDCE,249
loopfact,baseline,116
loopfact,traced,111
loopfact,tracedLVNTDCE,42
recfact,baseline,104
recfact,traced,141
recfact,tracedLVNTDCE,116
factors,baseline,72
factors,traced,74
factors,tracedLVNTDCE,74
perfect,baseline,232
perfect,traced,245
perfect,tracedLVNTDCE,243
bitshift,baseline,167
bitshift,traced,191
bitshift,tracedLVNTDCE,150
digital-root,baseline,247
digital-root,traced,247
digital-root,tracedLVNTDCE,247
up-arrow,baseline,252
up-arrow,traced,304
up-arrow,tracedLVNTDCE,290
sum-divisors,baseline,159
sum-divisors,traced,163
sum-divisors,tracedLVNTDCE,163
ackermann,baseline,1464231
ackermann,traced,2067798
ackermann,tracedLVNTDCE,2067798
pythagorean_triple,baseline,61518
pythagorean_triple,traced,timeout
pythagorean_triple,tracedLVNTDCE,incorrect
dot-product,baseline,88
dot-product,traced,88
dot-product,tracedLVNTDCE,88
euclid,baseline,563
euclid,traced,563
euclid,tracedLVNTDCE,417
binary-fmt,baseline,100
binary-fmt,traced,137
binary-fmt,tracedLVNTDCE,137
lcm,baseline,2326
lcm,traced,2328
lcm,tracedLVNTDCE,2327
gcd,baseline,46
gcd,traced,44
gcd,tracedLVNTDCE,40
catalan,baseline,659378
catalan,traced,836525
catalan,tracedLVNTDCE,836525
armstrong,baseline,133
armstrong,traced,155
armstrong,tracedLVNTDCE,152
pascals-row,baseline,146
pascals-row,traced,146
pascals-row,tracedLVNTDCE,66
collatz,baseline,169
collatz,traced,169
collatz,tracedLVNTDCE,169
sum-bits,baseline,73
sum-bits,traced,73
sum-bits,tracedLVNTDCE,73
rectangles-area-difference,baseline,14
rectangles-area-difference,traced,14
rectangles-area-difference,tracedLVNTDCE,14
mod_inv,baseline,558
mod_inv,traced,561
mod_inv,tracedLVNTDCE,370
reverse,baseline,46
reverse,traced,48
reverse,tracedLVNTDCE,incorrect
fizz-buzz,baseline,3652
fizz-buzz,traced,3656
fizz-buzz,tracedLVNTDCE,2202
bitwise-ops,baseline,1690
bitwise-ops,traced,1690
bitwise-ops,tracedLVNTDCE,1689
